Date,AAL.L,BARC.L,BP.L,HSBA.L,LLOY.L,RBS.L,RDSA.L,RIO.L
2011-10-04,-0.11136505298150845,-0.058072626447141396,-0.07932183876218801,-0.07491698857101381,-0.12057524889380522,-0.07955520000570748,-0.06790720154664087,-0.19961640601947472
2011-10-05,0.0004484304932734773,0.11955217318352451,0.016406218750000034,-0.002468144735463307,0.015072347897406635,0.024943310657596474,0.001000750562922148,-0.0388686735031426
2011-10-06,0.036173990235241815,0.14965848132876136,0.02012725682775507,0.023694755020080338,0.050373466100454234,0.06701709504576758,0.033945184812672835,0.047403685092127334
2011-10-07,0.02915194346289751,0.05577223239404239,0.02313489400151103,0.018203652949033478,-0.01617939256315637,0.002121340714314801,0.055881602449604495,0.06729634002361284
2011-10-10,-0.003915104059344698,0.021663841693103425,0.0009882495367510291,-0.0024981705227593576,-0.03565637493246898,-0.01599360217528345,0.04125736738703334,0.015954950727357975
2011-10-11,0.021576586199530068,0.055890619772759775,0.01487874991065885,0.01901963137254903,0.004151619038150534,0.049792531120331995,0.06051512878219545,0.06689564932940795
2011-10-12,0.0560768055858607,0.10552890708729934,0.051429363494518654,0.031786248793749916,-0.006578100408987209,0.07306119999999994,0.059467529236128414,0.13332209674700835
2011-10-13,0.03432032301480481,0.07344706085882668,0.044530213642213656,0.05272687123437536,-0.01735275965278882,0.028522827463333345,0.0694999999999999,0.13674917777393114
2011-10-14,0.06662149954832874,0.12671903635962645,0.07638616399556164,0.07670220168126907,-0.006127693550877722,0.08014247337108271,0.11164801627670395,0.1865579003369391
2011-10-17,0.0773906944119711,0.2216763576389258,0.14395158064516123,0.10442405923997189,0.019496824512478694,0.11849442544369548,0.1366346901737101,0.21732718894009206
2011-10-18,0.017480950246526294,0.12641026828652513,0.10402256532992782,0.07257734432989693,-0.02848481818181814,0.050442451327433524,0.09322669332666833,0.08742040956806063
2011-10-19,-0.02720068537159992,0.06910636723098751,0.112398231539661,0.024911754215263038,-0.0758400069237416,0.017241366570409644,0.08073929961089488,0.0036782344474652895
2011-10-20,-0.06416309012875532,0.04432070733119775,0.09197149758173517,0.007269178781925456,-0.08698788228505472,0.00042339543298131055,0.07032382793620107,-0.04709228824273071
2011-10-21,-0.08150599917252788,0.05723504877761476,0.08453659263783697,-0.002119006069844165,-0.07927176248538481,-0.007314111971212234,0.061084905660377276,-0.029715165511932207
2011-10-24,-0.03157674613132577,0.0626054816008983,0.07946285456011548,0.019819102871215577,-0.046306533801172334,-0.01343871146245057,0.057533600565904175,0.034340027594665035
2011-10-25,-0.04979338842975212,-0.037431994979970074,0.10984342440072559,-0.007748962740455667,-0.03503934432444045,-0.045644732878921235,0.0479098168154064,-0.017697798929208752
2011-10-26,0.0010843634786379397,0.031176408497282315,0.13602763339657864,0.005926278230224957,-0.0002918272207722561,0.025662238601103393,0.05329593267882182,0.005025125628140614
2011-10-27,0.044251535041287315,0.19284237970791707,0.12355910840863271,0.05771426285714276,0.11488721804511282,0.12407256906663067,0.043239533287577236,0.06486324914063668
2011-10-28,0.06857638888888884,0.14091295985556185,0.09787339954054941,0.08087951816443595,0.0842074080325359,0.09223098162315302,0.026459854014598605,0.09630526953361596
2011-10-31,0.010352422907488945,0.11535843957663494,0.06985380928086049,0.04748175976589564,0.013568246613591795,0.020640308019552966,0.008687700045724833,0.07137205253995882
2011-11-01,-0.011668868339938299,-0.015045322380512594,0.01613454126647329,0.018947414354067105,-0.07799067732689702,-0.07183213391647947,-0.019576957695769615,0.03648820905035044
2011-11-02,0.054574638844301804,0.05290645905994662,0.05304797263046934,0.05480783175795989,-0.07710538789698218,-0.02158275893039241,-0.022352675547527623,0.11940298507462677
2011-11-03,0.06148648648648658,0.014291286883081122,0.03937191223539238,0.044401544401544424,-0.12077879892846977,-0.06672125583232191,-0.0317848410757946,0.09362107267534125
2011-11-04,0.009933059814295042,-0.01687320208171983,0.03298329559940694,0.018867924528301883,-0.17442188869490693,-0.07491991807083531,-0.03277591973244143,0.03305172669334522
2011-11-07,0.030441400304414,-0.0036085376714515283,-0.009623849266215734,0.01904761904761898,-0.20829156301881702,-0.11319248576785534,-0.02577319587628868,0.04996214988644976
2011-11-08,0.04636048526863079,0.019038501056997115,-0.008026056399132342,0.021474701144628572,-0.1562043795620438,-0.0988700553002011,-0.022414558366622317,0.06666666666666665
2011-11-09,-0.04582319545823199,-0.18071407444719,-0.03815326658347851,-0.08824059257858297,-0.2573509306717022,-0.22662271830043046,-0.04780701754385963,-0.0218947368421053
2011-11-10,-0.03188464662875712,-0.1550654146754068,-0.03970466079525692,-0.12090921183603487,-0.22702707100841701,-0.1970330512826105,-0.0344444444444445,-0.05552486187845307
2011-11-11,0.0756485720514497,-0.08397125481795331,-0.005856859002169257,-0.07634434605934248,-0.11263271619118986,-0.07304992480747097,0.0,0.024372230428360453
2011-11-14,0.0906660726219648,-0.015275141813505089,0.033333306306306376,-0.05202857015648821,-0.07149866071657929,-0.046086982608695704,0.019967867798944328,0.052421214450422804
2011-11-15,0.0669710806697108,-0.05466548737317456,0.01005300030862144,-0.07303994244911116,-0.06522859099469269,-0.08174737995346948,0.020785219399538146,0.0245925925925925
2011-11-16,0.046042860173986844,-0.06529333384288394,0.01653161331644548,-0.08530497966728279,-0.06782003460207608,-0.07456140350877194,0.024793388429751984,0.0
2011-11-17,0.023733162283515075,-0.08444553329444571,0.0067396267393118325,-0.10296297407407395,-0.10012255907150158,-0.11216974739289076,0.024896265560165887,-0.04619799139167857
2011-11-18,-0.004431314623338234,-0.07220805490802551,-0.006294116774579028,-0.10121494205607473,-0.09010476380986765,-0.07550563146067413,0.012652403956751712,-0.05522710886806059
2011-11-21,-0.07204968944099377,-0.134616467848936,-0.03783072043290758,-0.1274418604651163,-0.18961937716262967,-0.12404835032626482,-0.022474460839954635,-0.12414772727272727
2011-11-22,-0.05163620909477262,-0.11304975015005503,-0.03155558222222221,-0.06191976445395442,-0.18670547814364402,-0.12660027387198503,-0.020036849378166743,-0.12326015210216679
2011-11-23,-0.08181246066708625,-0.13000126473376472,-0.04959322478002748,-0.0673106171491551,-0.19617224880382778,-0.17858839852425212,-0.03084004602991941,-0.12679145949107928
