Date,Close
2009-12-15,313.74
2009-12-16,315.92
2009-12-17,304.91
2009-12-18,295.88
2009-12-21,295.68
2009-12-22,286.96
2009-12-23,281.8
2009-12-24,290.63
2009-12-29,297.97
2009-12-30,288.44
2009-12-31,289.63
2010-01-04,318.4
2010-01-05,351.13
2010-01-06,363.83
2010-01-07,355.79
2010-01-08,348.35
2010-01-11,346.97
2010-01-12,344.98
2010-01-13,353.12
2010-01-14,357.08
2010-01-15,364.42
2010-01-18,369.38
2010-01-19,380.29
2010-01-20,376.92
2010-01-21,350.34
2010-01-22,343.99
2010-01-25,350.73
2010-01-26,345.18
2010-01-27,340.72
2010-01-28,323.06
2010-01-29,320.38
2010-02-01,345.78
2010-02-02,358.57
2010-02-03,350.93
2010-02-04,331.39
2010-02-05,320.08
2010-02-08,318.89
2010-02-09,316.02
2010-02-10,323.36
2010-02-11,323.36
2010-02-12,309.97
2010-02-15,313.44
2010-02-16,329.9
2010-02-17,336.25
2010-02-18,334.67
2010-02-19,342.5
2010-02-22,354.9
2010-02-23,357.08
2010-02-24,358.37
2010-02-25,382.97
2010-02-26,373.65
2010-03-01,363.93
2010-03-02,374.34
2010-03-03,376.13
2010-03-04,390.41
2010-03-05,396.66
2010-03-08,391.5
2010-03-09,386.64
2010-03-10,400.73
2010-03-11,402.21
2010-03-12,422.25
2010-03-15,423.84
2010-03-16,429.29
2010-03-17,431.97
2010-03-18,416.6
2010-03-19,436.43
2010-03-22,434.25
2010-03-23,437.03
2010-03-24,441.29
2010-03-25,452.3
2010-03-26,452.21
2010-03-29,444.17
2010-03-30,429.09
2010-03-31,436.43
2010-04-01,443.38
2010-04-06,445.86
2010-04-07,444.77
2010-04-08,436.43
2010-04-09,443.38
2010-04-12,445.36
2010-04-13,442.09
2010-04-14,445.56
2010-04-15,455.78
2010-04-16,485.93
2010-04-19,499.92
2010-04-20,522.73
2010-04-21,526.4
2010-04-22,534.14
2010-04-23,553.48
2010-04-26,575.7
2010-04-27,555.46
2010-04-28,545.05
2010-04-29,557.45
2010-04-30,539.1
2010-05-04,503.39
2010-05-05,499.92
2010-05-06,478.39
2010-05-07,451.31
2010-05-10,505.87
2010-05-11,495.95
2010-05-12,479.88
2010-05-13,487.62
2010-05-14,468.77
2010-05-17,463.81
2010-05-18,469.37
2010-05-19,448.34
2010-05-20,444.57
2010-05-21,450.02
2010-05-24,450.02
2010-05-25,425.13
2010-05-26,447.35
2010-05-27,463.91
2010-05-28,463.51
2010-06-01,464.21
2010-06-02,447.74
2010-06-03,456.27
2010-06-04,431.38
2010-06-07,427.41
2010-06-08,411.14
2010-06-09,417.39
2010-06-10,428.1
2010-06-11,420.27
2010-06-14,428.3
2010-06-15,438.62
2010-06-16,448.04
2010-06-17,463.22
2010-06-18,466.19
2010-06-21,463.91
2010-06-22,466.98
2010-06-23,463.41
2010-06-24,448.24
2010-06-25,441.0
2010-06-28,430.98
2010-06-29,414.61
2010-06-30,410.94
2010-07-01,391.5
2010-07-02,397.35
2010-07-05,386.44
2010-07-06,405.78
2010-07-07,424.83
2010-07-08,440.01
2010-07-09,438.91
2010-07-12,443.18
2010-07-13,460.24
2010-07-14,458.26
2010-07-15,448.34
2010-07-16,433.56
2010-07-19,432.07
2010-07-20,438.52
2010-07-21,448.14
2010-07-22,443.38
2010-07-23,449.63
2010-07-26,462.92
2010-07-27,499.42
2010-07-28,493.27
2010-07-29,495.55
2010-07-30,495.55
2010-08-02,516.78
2010-08-03,516.28
2010-08-04,516.78
2010-08-05,515.79
2010-08-06,506.86
2010-08-09,499.42
2010-08-10,480.57
2010-08-11,456.27
2010-08-12,460.34
2010-08-13,465.89
2010-08-16,455.48
2010-08-17,468.67
2010-08-18,465.6
2010-08-19,460.93
2010-08-20,450.52
2010-08-23,453.3
2010-08-24,437.43
2010-08-25,426.42
2010-08-26,434.95
2010-08-27,431.47
2010-08-31,442.19
2010-09-01,454.29
2010-09-02,457.76
2010-09-03,462.42
2010-09-06,465.7
2010-09-07,457.36
2010-09-08,454.59
2010-09-09,477.6
2010-09-10,481.37
2010-09-13,496.94
2010-09-14,497.44
2010-09-15,493.96
2010-09-16,480.47
2010-09-17,474.52
2010-09-20,486.23
2010-09-21,481.86
2010-09-22,471.15
2010-09-23,475.71
2010-09-24,488.91
2010-09-27,484.14
2010-09-28,476.61
2010-09-29,475.02
2010-09-30,472.24
2010-10-01,472.84
2010-10-04,471.75
2010-10-05,486.82
2010-10-06,490.89
2010-10-07,474.32
2010-10-08,472.24
2010-10-11,471.15
2010-10-12,472.14
2010-10-13,471.45
2010-10-14,449.33
2010-10-15,460.24
2010-10-18,459.35
2010-10-19,465.7
2010-10-20,456.27
2010-10-21,451.91
2010-10-22,458.06
2010-10-25,450.32
2010-10-26,444.17
2010-10-27,445.96
2010-10-28,441.89
2010-10-29,442.48
2010-11-01,452.11
2010-11-02,450.62
2010-11-03,448.04
2010-11-04,467.58
2010-11-05,446.35
2010-11-08,432.86
2010-11-09,434.05
2010-11-10,418.18
2010-11-11,406.88
2010-11-12,415.7
2010-11-15,419.77
2010-11-16,405.29
2010-11-17,413.92
2010-11-18,416.7
2010-11-19,414.32
2010-11-22,395.17
2010-11-23,397.25
2010-11-24,402.31
2010-11-25,405.29
2010-11-26,383.76
2010-11-29,382.08
2010-11-30,372.85
2010-12-01,396.76
2010-12-02,412.13
2010-12-03,411.24
2010-12-06,407.87
2010-12-07,410.15
2010-12-08,406.48
2010-12-09,419.67
2010-12-10,413.52
2010-12-13,414.81
2010-12-14,410.05
2010-12-15,404.3
2010-12-16,397.95
2010-12-17,375.14
2010-12-20,381.48
2010-12-21,398.54
2010-12-22,403.6
2010-12-23,402.71
2010-12-24,403.5
