Date,HSBA.UK,BARC.UK,LLOY.UK,RBS.UK,BP.UK,RDSA.UK,RIO.UK,AAL.UK
2009-11-17,0.10536702395232767,-0.07080291970802921,0.054562815441276724,0.035937413611986546,0.010445299615173154,0.04231625835189301,0.12962912363152812,0.1220963959967436
2009-11-18,0.10828947625848606,-0.03750974969864562,0.06861820589474532,0.03576234788833221,0.0032448441821468776,0.030477759472817167,0.1476640159045728,0.12202071410949156
2009-11-19,0.07502401536983672,-0.08348215849003737,0.06057781919850891,-0.03587335006883152,-0.004072784602246582,0.020193637621023663,0.10740576257956858,0.05909972246511819
2009-11-20,0.06647580876037784,-0.11258892669347376,0.03441267586179686,-0.08633001458882539,-0.027258667354040478,-0.012709572742022668,0.03484496688571492,0.01688086774222941
2009-11-23,0.04868194947168303,-0.043642026728477834,0.07351054802360224,-0.031513147698506994,-0.00792915472625022,0.00781671159029651,0.07785449387315624,0.06613776332584864
2009-11-24,0.015081541347957694,-0.024525953583717675,0.05107673756994546,-0.053679812922041936,0.005805547035884873,-0.013826110077107101,0.017315456437605237,0.060370492887859895
2009-11-25,0.02284887924801149,-0.024068351208871075,0.0471946639762344,-0.03896174271160724,0.019607843137254832,-0.002144772117962379,0.015801686522115554,0.07434263598212576
2009-11-26,-0.0452644396209434,-0.0903266192878448,-0.011341305934534862,-0.11885720440531,-0.012189755324766849,-0.02208456773498524,-0.044206524497019895,0.005489323843416383
2009-11-27,-0.06638386286901554,-0.08073314422867128,-0.027501625940722807,-0.07285498977284954,-0.007693477930150183,-0.027615507169410525,-0.06520436246638639,-0.024498762667168217
2009-11-30,-0.05520548904291833,-0.07189615830621321,-0.08986085703198621,-0.12176442333351123,-0.022002176278563712,-0.03819444444444442,-0.04469609317363643,-0.002680522549841635
2009-12-01,-0.0215718118909759,-0.07455429497568888,-0.09214997840821615,-0.060596008182672634,-0.003950681601111339,-0.02078337330135893,-0.030212479478427312,0.031180074414834724
2009-12-02,-0.013975516039674618,-0.03537997172658858,-0.11333806977526828,-0.06831289545887242,0.0069916232438493875,-0.007863340563991295,0.023316481949575474,0.07677016961321015
2009-12-03,-0.012849421954973295,0.030401611091747105,-0.0388379146557809,-0.024175023810857788,0.005873909683117962,0.005204053683922405,0.04440571598887266,0.04742654308814842
2009-12-04,-0.03904820012202559,-0.02461561766265241,-0.08062796426339214,-0.08388008748066356,-0.006776274352235934,-0.008558438085049525,-0.04943434519609613,0.004631753730528043
2009-12-07,-0.03152768891732405,-0.054037826478534945,-0.1404961640496163,-0.09115393158596186,0.001023719805711032,0.0,-0.0007846875012840204,0.00115253297284168
